Term,Definition,Category
retaliation,Act of returning harm,Volition
resistance,Act of opposing force,Volition
contention,Struggle or competition,Volition
peace,State of calm or non-conflict,Volition
warfare,State of armed conflict,Volition
pacification,Act of making peace,Volition
mediation,Act of resolving disputes,Volition
submission,Yielding to authority,Volition
combatant,Person engaged in fighting,Volition
arms,Weapons used in conflict,Volition
arena,Place of conflict or competition,Volition
completion,Act of finishing,Volition
noncompletion,Failure to finish,Volition
success,Achievement of a goal,Volition
failure,Lack of success,Volition
trophy,Prize or symbol of success,Volition
prosperity,State of success or wealth,Volition
adversity,State of hardship or misfortune,Volition
mediocrity,Average or ordinary state,Volition
authority,Power to command or control,Volition
laxity,Lack of strictness,Volition
severity,Strict or harsh control,Volition
lenity,Mildness or leniency,Volition
command,Order or directive,Volition
disobedience,Refusal to follow orders,Volition
obedience,Compliance with orders,Volition
compulsion,Forcing compliance,Volition
master,Person with authority,Volition
servant,Person under authority,Volition
scepter,Symbol of authority,Volition
freedom,State of being unrestricted,Volition
subjection,State of being controlled,Volition
liberation,Act of setting free,Volition
restraint,Act of limiting or controlling,Volition
prison,Place of confinement,Volition
keeper,Person guarding or managing,Volition
prisoner,Person confined,Volition
commission,Task or authority given,Volition
abrogation,Act of repealing or canceling,Volition
resignation,Act of giving up a position,Volition
consignee,Person tasked with receiving,Volition
deputy,Person acting for another,Volition
permission,Authorization to act,Volition
prohibition,Forbidding an action,Volition
consent,Agreement or approval,Volition
offer,Proposal or presentation,Volition
refusal,Act of declining,Volition
request,Act of asking for something,Volition
deprecation,Plea against something,Volition
petitioner,Person making a request,Volition
promise,Commitment to act,Volition
compact,Formal agreement,Volition
conditions,Terms of an agreement,Volition
security,Guarantee or protection,Volition
observance,Following rules or customs,Volition
nonobservance,Failure to follow rules,Volition
compromise,Agreement by mutual concession,Volition
acquisition,Act of gaining possession,Volition
loss,Act of losing possession,Volition
possession,State of owning,Volition
participation,Sharing or partaking,Volition
possessor,Person who owns,Volition
property,Owned things or assets,Volition
retention,Act of keeping possession,Volition
relinquishment,Act of giving up possession,Volition
transfer,Act of moving ownership,Volition
giving,Act of bestowing,Volition
receiving,Act of accepting,Volition
apportionment,Dividing or distributing,Volition
lending,Giving for temporary use,Volition
borrowing,Taking for temporary use,Volition
taking,Act of acquiring,Volition
restitution,Act of returning or restoring,Volition
stealing,Taking without permission,Volition
thief,Person who steals,Volition
booty,Stolen or plundered goods,Volition
barter,Exchange of goods,Volition
purchase,Acquiring by payment,Volition
sale,Act of selling,Volition
merchant,Person engaged in trade,Volition
merchandise,Goods for sale,Volition
mart,Place of trade or market,Volition
money,Medium of exchange,Volition
treasurer,Person managing funds,Volition
treasury,Place for storing funds,Volition
wealth,Abundance of resources,Volition
poverty,Lack of resources,Volition
credit,Trust in future payment,Volition
debt,Obligation to pay,Volition
payment,Act of paying,Volition
nonpayment,Failure to pay,Volition
expenditure,Act of spending,Volition
receipt,Act of receiving payment,Volition
accounts,Records of financial transactions,Volition
price,Cost of something,Volition
discount,Reduction in price,Volition
dearness,High cost,Volition
cheapness,Low cost,Volition
liberality,Generosity in giving,Volition
economy,Careful use of resources,Volition
prodigality,Wasteful spending,Volition
parsimony,Extreme frugality,Volition
affections,Emotions or feelings,Affections
feeling,Emotional or sensory experience,Affections
sensibility,Capacity to feel emotions,Affections
insensibility,Lack of emotional sensitivity,Affections
excitation,Arousal of emotions,Affections
excitability,Tendency to be easily aroused,Affections
inexcitability,Resistance to emotional arousal,Affections
pleasure,Enjoyable emotion or sensation,Affections
pain,Unpleasant emotion or sensation,Affections
pleasurableness,Quality of being pleasant,Affections
painfulness,Quality of being painful,Affections
content,Satisfaction or contentment,Affections
discontent,Dissatisfaction or unease,Affections
regret,Sorrow for past actions,Affections
relief,Alleviation of pain or distress,Affections
aggravation,Worsening of distress,Affections
cheerfulness,Happy or optimistic mood,Affections
dejection,Sadness or low spirits,Affections
rejoicing,Expression of joy,Affections
lamentation,Expression of sorrow,Affections
amusement,Enjoyable diversion,Affections
weariness,Fatigue or boredom,Affections
wit,Clever or humorous expression,Affections
dullness,Lack of wit or excitement,Affections
humorist,Person skilled in humor,Affections
beauty,Aesthetic pleasing quality,Affections
ugliness,Lack of aesthetic appeal,Affections
ornament,Decorative enhancement,Affections
blemish,Imperfection or flaw,Affections
simplicity,Plain or unadorned quality,Affections
taste,Sense of aesthetic judgment,Affections
vulgarity,Lack of taste or refinement,Affections
fashion,Current style or trend,Affections
ridiculousness,Quality of being laughable,Affections
fop,Person overly concerned with fashion,Affections
affectation,Artificial or exaggerated behavior,Affections
ridicule,Mockery or derision,Affections
laughingstock,Object of ridicule,Affections
hope,Expectation of positive outcome,Affections
hopelessness,Lack of hope,Affections
fear,Anxiety about danger,Affections
courage,Bravery in facing danger,Affections
cowardice,Lack of bravery,Affections
rashness,Reckless boldness,Affections
caution,Careful avoidance of risk,Affections
desire,Strong wish or craving,Affections
indifference,Lack of interest or concern,Affections
dislike,Feeling of aversion,Affections
fastidiousness,Excessive choosiness,Affections
satiety,Feeling of being overly full,Affections
wonder,Awe or amazement,Affections
expectance,State of expecting,Affections
prodigy,Extraordinary phenomenon,Affections
repute,Good reputation,Affections
disrepute,Bad reputation,Affections
nobility,High moral or social rank,Affections
commonality,Ordinary or common status,Affections
title,Name or rank of honor,Affections
pride,Self-respect or arrogance,Affections
humility,Modest self-view,Affections
vanity,Excessive pride in appearance,Affections
modesty,Humble or reserved demeanor,Affections
ostentation,Showy display,Affections
celebration,Festive commemoration,Affections
boasting,Excessive self-praise,Affections
insolence,Arrogant disrespect,Affections
servility,Excessive submissiveness,Affections
blusterer,Loud, boastful person,Affections
friendship,Mutual affection,Affections
enmity,Hostility or hatred,Affections
friend,Person with whom one is allied,Affections
enemy,Person opposed or hostile,Affections
sociality,Tendency to socialize,Affections
seclusion, exclusion,Isolation or exclusion,Affections
courtesy,Polite behavior,Affections
discourtesy,Rude behavior,Affections
congratulation,Expression of joy for success,Affections
love,Deep affection,Affections
hate,Intense dislike,Affections
favorite,Preferred person or thing,Affections
resentment,Bitter indignation,Affections
irascibility,Tendency to anger,Affections
endearment,Act of expressing affection,Affections
marriage,Union of two people,Affections
celibacy,State of being unmarried,Affections
divorce,Dissolution of marriage,Affections
benevolence,Kindness or goodwill,Affections
malevolence,Ill will or malice,Affections
malediction,Curse or evil wish,Affections
threat,Expression of intent to harm,Affections
philanthropy,Love of humanity; charity,Affections
misanthropy,Hatred of humanity,Affections
benefactor,Person who helps others,Affections
evil,Harmful act or quality,Affections
pity,Sympathy for suffering,Affections
condolence,Expression of sympathy,Affections
gratitude,Thankfulness for benefits,Affections
ingratitude,Lack of thankfulness,Affections
forgiveness,Pardon for wrongs,Affections
revenge,Retaliation for wrongs,Affections
jealousy,Envy or fear of rivalry,Affections
envy,Desire for another's advantages,Affections
right,Moral or legal correctness,Affections
wrong,Moral or legal incorrectness,Affections
dueness,What is owed or deserved,Affections
undueness,What is not deserved,Affections
duty,Moral or legal obligation,Affections
dereliction of duty,Failure to fulfill duty,Affections
respect,Admiration or regard,Affections
disrespect,Lack of respect,Affections
contempt,Scorn or disdain,Affections
approbation,Approval or praise,Affections
disapprobation,Disapproval or criticism,Affections
flattery,Excessive or insincere praise,Affections
detraction,Belittling or slander,Affections
flatterer,Person who flatters,Affections
detractor,Person who disparages,Affections
vindication,Defense or justification,Affections
accusation,Claim of wrongdoing,Affections
probity,Integrity or honesty,Affections
improbity,Dishonesty or immorality,Affections
knave,Dishonest person,Affections
disinterestedness,Impartiality or unselfishness,Affections
selfishness,Concern for self over others,Affections
virtue,Moral excellence,Affections
vice,Moral fault or wickedness,Affections
innocence,Freedom from guilt,Affections
guilt,State of being culpable,Affections
good man,Person of moral virtue,Affections
bad man,Person of moral fault,Affections
penitence,Regret for wrongdoing,Affections
impenitence,Lack of regret for wrongs,Affections
atonement,Making amends for wrongs,Affections
temperance,Self-control or moderation,Affections
intemperance,Lack of self-control,Affections
asceticism,Severe self-discipline,Affections
fasting,Abstaining from food,Affections
gluttony,Excessive eating,Affections
sobriety,Abstinence from alcohol,Affections
drunkenness,State of intoxication,Affections
purity,Freedom from corruption,Affections
impurity,Corruption or immorality,Affections
libertine,Morally unrestrained person,Affections
legality,Conformity to law,Affections
illegality,Violation of law,Affections
jurisdiction,Authority over legal matters,Affections
tribunal,Court or place of judgment,Affections
judge,Person who decides legal cases,Affections
lawyer,Legal professional,Affections
lawsuit,Legal action or case,Affections
acquittal,Legal finding of not guilty,Affections
condemnation,Legal finding of guilt,Affections
punishment,Penalty for wrongdoing,Affections
reward,Benefit for good action,Affections
penalty,Punishment for violation,Affections
scourge,Severe punishment or affliction,Affections
deity,Divine being or god,Affections
angel,Benevolent spiritual being,Affections
satan,Evil spiritual being,Affections
Jupiter,Chief Roman god,Affections
demon,Evil supernatural being,Affections
heaven,Divine or blissful realm,Affections
hell,Realm of punishment or evil,Affections
theology,Study of divine matters,Affections
heterodoxy,Beliefs deviating from doctrine,Affections
Judeo-Christian revelation,Divine truths in Jewish-Christian texts,Affections
Non-Judeo-Christian revelation,Divine truths in other faiths,Affections
piety,Devotion to religion,Affections
impiety,Lack of religious devotion,Affections
irreligion,Rejection of religion,Affections
worship,Reverent devotion to deity,Affections
idolatry,Worship of idols,Affections
sorcery,Use of magic or witchcraft,Affections
spell,Magical incantation,Affections
sorcerer,Practitioner of magic,Affections
churchdom,Religious institution or authority,Affections
clergy,Religious leaders,Affections
laity,Non-clergy religious members,Affections
rite,Religious ceremony,Affections
canonicals,Clerical garments,Affections
temple,Place of worship,Affections
